 Vardas               Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz       
Vardas386            Pavarde386         6         3         1         6         3         4         10        8         9         4         6         
Vardas387            Pavarde387         3         8         6         7         3         5         7         8         1         6         1         
Vardas388            Pavarde388         4         5         2         7         5         2         5         3         7         10        9         
Vardas389            Pavarde389         5         3         7         9         2         4         3         6         3         1         4         
Vardas390            Pavarde390         5         2         10        5         10        8         8         1         7         5         5         
Vardas391            Pavarde391         1         9         4         1         9         7         2         6         9         5         1         
Vardas392            Pavarde392         8         7         8         9         4         8         4         7         10        5         7         
Vardas393            Pavarde393         8         8         8         10        6         3         4         10        4         8         7         
Vardas394            Pavarde394         8         2         4         2         2         5         3         8         3         9         5         
Vardas395            Pavarde395         3         2         1         8         6         6         9         2         6         7         10        
Vardas396            Pavarde396         4         7         6         5         4         4         5         1         7         3         7         
Vardas397            Pavarde397         1         1         1         4         3         3         8         7         6         10        10        
Vardas398            Pavarde398         8         7         1         10        6         9         3         8         4         4         7         
Vardas399            Pavarde399         8         4         3         1         3         4         5         8         5         4         4         
Vardas400            Pavarde400         1         8         10        5         7         6         9         9         1         2         6         
Vardas401            Pavarde401         8         2         8         6         3         1         8         1         10        7         1         
Vardas402            Pavarde402         2         3         9         1         10        6         9         6         8         4         4         
Vardas403            Pavarde403         10        2         5         7         3         3         2         6         6         10        2         
Vardas404            Pavarde404         7         3         2         6         1         10        7         6         1         7         6         
Vardas405            Pavarde405         1         8         9         1         6         10        1         1         6         10        8         
Vardas406            Pavarde406         10        8         7         9         8         2         9         6         4         5         3         
Vardas407            Pavarde407         5         8         1         10        10        6         6         6         9         8         2         
Vardas408            Pavarde408         2         1         10        5         7         1         8         9         6         4         5         
Vardas409            Pavarde409         7         6         9         6         9         6         9         4         10        8         10        
Vardas410            Pavarde410         10        9         4         6         6         7         1         9         9         8         4         
Vardas411            Pavarde411         9         2         8         9         3         6         4         2         7         7         7         
Vardas412            Pavarde412         10        8         6         1         1         10        8         6         10        5         10        
Vardas413            Pavarde413         4         3         6         2         4         3         4         1         9         5         3         
Vardas414            Pavarde414         6         6         6         8         2         1         10        6         4         10        4         
Vardas415            Pavarde415         1         5         6         6         6         3         2         7         9         3         1         
Vardas416            Pavarde416         2         4         8         7         10        8         9         6         5         10        2         
Vardas417            Pavarde417         5         8         7         9         8         10        5         1         2         10        4         
Vardas418            Pavarde418         5         9         4         7         6         10        9         4         9         7         9         
Vardas419            Pavarde419         10        9         8         3         9         1         8         6         5         9         5         
Vardas420            Pavarde420         5         7         9         3         2         5         6         2         7         2         9         
Vardas421            Pavarde421         2         2         7         5         2         1         1         1         5         5         9         
Vardas422            Pavarde422         3         9         5         3         6         1         3         2         1         10        6         
Vardas423            Pavarde423         7         8         7         2         9         10        7         6         4         8         7         
Vardas424            Pavarde424         2         7         2         2         9         8         3         5         7         1         9         
Vardas425            Pavarde425         2         10        1         4         6         3         3         9         3         5         7         
Vardas426            Pavarde426         4         8         4         3         2         1         4         7         9         10        5         
Vardas427            Pavarde427         3         10        2         4         9         6         9         9         7         7         9         
Vardas428            Pavarde428         5         2         9         4         2         2         8         10        8         3         6         
Vardas429            Pavarde429         6         10        9         6         7         1         1         1         5         9         3         
Vardas430            Pavarde430         10        2         9         6         8         6         1         10        10        5         4         
Vardas431            Pavarde431         2         1         10        7         2         2         4         1         5         6         1         
Vardas432            Pavarde432         10        5         2         5         10        9         5         4         4         4         8         
Vardas433            Pavarde433         5         10        5         8         9         1         4         2         6         1         9         
Vardas434            Pavarde434         7         2         6         6         5         2         2         9         9         3         9         
Vardas435            Pavarde435         8         5         10        2         9         4         8         5         6         9         2         
Vardas436            Pavarde436         1         8         1         4         3         7         8         9         6         2         1         
Vardas437            Pavarde437         7         7         9         1         2         10        4         8         2         10        9         
Vardas438            Pavarde438         1         8         7         1         2         2         3         9         9         2         5         
Vardas439            Pavarde439         5         2         1         3         5         7         5         3         5         9         5         
Vardas440            Pavarde440         8         6         6         10        1         1         10        8         2         8         7         
Vardas441            Pavarde441         1         2         9         4         7         6         7         1         3         9         1         
Vardas442            Pavarde442         1         5         4         6         6         9         8         6         3         3         2         
Vardas443            Pavarde443         3         10        4         1         7         3         2         10        4         7         9         
Vardas444            Pavarde444         6         4         7         4         4         5         7         1         5         8         7         
Vardas445            Pavarde445         1         1         5         7         5         5         10        5         9         8         1         
Vardas446            Pavarde446         10        3         8         7         8         9         10        3         5         6         3         
Vardas447            Pavarde447         8         9         9         8         4         6         5         6         3         1         8         
Vardas448            Pavarde448         4         8         5         1         2         1         9         1         8         3         5         
Vardas449            Pavarde449         3         9         5         9         9         2         10        9         8         7         8         
Vardas450            Pavarde450         5         7         10        1         1         8         7         5         8         3         4         
Vardas451            Pavarde451         5         10        9         8         4         10        7         6         4         2         5         
Vardas452            Pavarde452         6         4         2         9         7         5         10        4         3         2         1         
Vardas453            Pavarde453         6         9         1         6         1         2         1         7         6         8         9         
Vardas454            Pavarde454         1         8         6         2         10        1         9         2         2         4         4         
Vardas455            Pavarde455         8         5         1         10        3         7         8         4         4         9         10        
Vardas456            Pavarde456         5         6         5         10        9         3         9         9         10        10        8         
Vardas457            Pavarde457         8         4         1         3         9         7         2         9         3         2         8         
Vardas458            Pavarde458         10        3         4         9         2         3         10        7         5         10        3         
Vardas459            Pavarde459         8         10        9         2         6         10        1         1         7         6         3         
Vardas460            Pavarde460         6         6         7         5         10        1         8         1         9         6         10        
Vardas461            Pavarde461         2         9         5         6         2         6         3         6         4         1         1         
Vardas462            Pavarde462         9         2         10        10        3         4         10        10        7         1         4         
Vardas463            Pavarde463         7         9         9         3         10        10        3         7         6         9         8         
Vardas464            Pavarde464         2         6         6         3         10        3         9         2         3         1         8         
Vardas465            Pavarde465         9         8         5         4         6         4         6         4         2         10        4         
Vardas466            Pavarde466         9         3         3         1         1         1         1         6         3         3         8         
Vardas467            Pavarde467         9         6         3         7         7         6         6         8         8         5         3         
Vardas468            Pavarde468         10        3         2         8         10        5         4         7         9         2         2         
Vardas469            Pavarde469         3         4         7         1         9         1         8         6         4         8         2         
Vardas470            Pavarde470         3         7         2         1         8         5         7         6         9         8         10        
Vardas471            Pavarde471         6         8         8         4         6         6         6         1         10        4         2         
Vardas472            Pavarde472         10        6         5         5         8         2         4         10        10        2         8         
Vardas473            Pavarde473         2         1         4         8         4         5         8         1         3         6         2         
Vardas474            Pavarde474         6         10        5         3         5         4         4         5         5         6         10        
Vardas475            Pavarde475         5         5         8         5         4         4         2         6         5         2         3         
Vardas476            Pavarde476         8         4         10        3         4         3         6         10        2         4         4         
Vardas477            Pavarde477         4         9         6         8         5         1         5         8         5         1         10        
Vardas478            Pavarde478         5         6         4         6         2         8         6         1         6         9         7         
Vardas479            Pavarde479         8         7         6         5         6         8         2         8         10        10        4         
Vardas480            Pavarde480         2         7         5         10        8         5         1         10        8         8         8         
Vardas481            Pavarde481         4         6         1         3         9         6         7         7         2         6         8         
Vardas482            Pavarde482         1         6         9         1         9         9         2         6         10        3         6         
Vardas483            Pavarde483         9         3         3         4         7         2         6         7         1         9         2         
Vardas484            Pavarde484         5         5         3         2         10        6         3         9         2         9         10        
Vardas485            Pavarde485         7         10        3         10        6         8         8         10        3         2         8         
Vardas486            Pavarde486         1         1         7         9         5         10        6         8         1         10        10        
Vardas487            Pavarde487         2         1         3         9         7         2         2         8         3         9         7         
Vardas488            Pavarde488         5         6         10        9         9         1         9         3         2         2         8         
Vardas489            Pavarde489         10        6         3         1         5         8         8         4         1         7         4         
Vardas490            Pavarde490         5         1         7         3         5         5         7         3         8         10        3         
Vardas491            Pavarde491         10        8         6         1         8         1         8         2         1         6         7         
Vardas492            Pavarde492         3         1         4         8         5         9         7         5         5         4         1         
Vardas493            Pavarde493         10        10        7         2         7         5         10        3         3         9         2         
Vardas494            Pavarde494         9         7         5         1         9         8         7         5         7         2         4         
Vardas495            Pavarde495         5         4         8         10        10        4         2         3         8         9         10        
Vardas496            Pavarde496         4         8         1         5         7         7         10        6         1         2         10        
Vardas497            Pavarde497         5         7         1         7         4         2         7         1         4         9         5         
Vardas498            Pavarde498         10        4         4         2         3         7         6         1         8         5         7         
Vardas499            Pavarde499         1         4         2         7         2         7         2         6         6         7         7         
Vardas500            Pavarde500         7         4         8         4         4         3         9         8         6         2         9         
Vardas501            Pavarde501         8         6         10        1         4         1         6         10        3         3         7         
Vardas502            Pavarde502         1         2         5         10        7         8         5         9         1         5         5         
Vardas503            Pavarde503         2         1         8         9         7         9         4         9         1         10        1         
Vardas504            Pavarde504         2         5         7         10        3         5         3         2         6         7         1         
Vardas505            Pavarde505         8         3         1         5         1         1         5         10        2         5         7         
Vardas506            Pavarde506         6         9         4         5         7         4         9         5         1         10        10        
Vardas507            Pavarde507         5         3         5         5         3         5         6         8         6         8         2         
Vardas508            Pavarde508         7         1         8         3         3         3         10        10        1         2         9         
Vardas509            Pavarde509         8         8         5         1         9         2         1         5         9         10        5         
Vardas510            Pavarde510         6         7         8         1         6         3         6         10        9         7         7         
Vardas511            Pavarde511         10        4         10        8         10        10        8         10        1         7         1         
Vardas512            Pavarde512         6         10        3         9         5         5         10        7         8         8         1         
Vardas513            Pavarde513         2         1         9         2         7         8         1         6         10        10        9         
Vardas514            Pavarde514         10        8         3         3         4         2         7         2         1         3         6         
Vardas515            Pavarde515         4         6         2         8         2         1         4         1         7         1         7         
Vardas516            Pavarde516         7         7         5         7         9         10        7         10        9         5         5         
Vardas517            Pavarde517         1         8         8         1         4         10        7         5         5         2         9         
Vardas518            Pavarde518         9         7         4         2         3         10        5         3         3         1         8         
Vardas519            Pavarde519         7         4         10        2         7         7         2         6         9         4         6         
Vardas520            Pavarde520         5         5         4         4         7         3         5         6         2         4         7         
Vardas521            Pavarde521         8         7         9         10        1         8         10        4         6         6         4         
Vardas522            Pavarde522         1         10        1         6         7         1         10        8         7         3         6         
Vardas523            Pavarde523         7         3         10        3         8         2         6         1         1         1         5         
Vardas524            Pavarde524         9         5         9         5         1         5         10        4         9         9         4         
Vardas525            Pavarde525         2         8         3         5         8         4         10        6         10        3         1         
Vardas526            Pavarde526         9         8         7         4         10        9         8         9         10        9         5         
Vardas527            Pavarde527         5         8         4         2         10        6         7         1         9         1         6         
Vardas528            Pavarde528         5         10        9         5         9         8         4         5         7         6         6         
Vardas529            Pavarde529         7         1         5         1         2         3         5         6         3         8         3         
Vardas530            Pavarde530         5         10        1         1         2         2         7         4         4         3         7         
Vardas531            Pavarde531         5         7         6         10        5         7         3         3         3         3         4         
Vardas532            Pavarde532         8         2         3         4         1         2         2         10        10        8         9         
Vardas533            Pavarde533         5         8         6         6         1         1         6         9         1         4         3         
Vardas534            Pavarde534         6         5         3         3         7         7         8         10        9         8         1         
Vardas535            Pavarde535         3         5         9         1         4         9         3         10        7         8         9         
Vardas536            Pavarde536         2         7         1         5         9         6         8         5         9         7         6         
Vardas537            Pavarde537         2         1         2         6         5         3         6         2         9         8         8         
Vardas538            Pavarde538         4         7         9         5         1         6         3         9         9         6         5         
Vardas539            Pavarde539         10        7         10        1         3         1         6         5         3         1         7         
Vardas540            Pavarde540         2         9         2         7         6         8         9         6         8         4         8         
Vardas541            Pavarde541         3         7         1         4         5         9         2         5         10        1         1         
Vardas542            Pavarde542         2         8         1         10        1         9         3         10        10        3         3         
Vardas543            Pavarde543         4         5         4         3         4         3         1         2         3         9         3         
Vardas544            Pavarde544         6         4         1         4         8         6         3         8         7         10        8         
Vardas545            Pavarde545         7         5         2         5         3         9         5         10        9         3         3         
Vardas546            Pavarde546         7         6         5         8         8         10        3         1         2         7         3         
Vardas547            Pavarde547         3         1         4         4         7         1         8         9         9         9         2         
Vardas548            Pavarde548         1         3         3         5         3         6         7         10        1         5         4         
Vardas549            Pavarde549         6         8         7         9         5         6         1         3         9         5         3         
Vardas550            Pavarde550         2         10        10        6         9         10        8         1         7         5         10        
Vardas551            Pavarde551         5         3         1         9         1         8         10        10        10        10        2         
Vardas552            Pavarde552         7         2         9         2         2         10        7         2         3         1         7         
Vardas553            Pavarde553         10        2         5         6         7         3         2         4         8         10        10        
Vardas554            Pavarde554         7         4         1         3         9         6         6         4         8         10        1         
Vardas555            Pavarde555         1         7         4         2         8         7         5         3         8         3         6         
Vardas556            Pavarde556         5         10        1         2         8         8         5         7         9         9         10        
Vardas557            Pavarde557         5         8         5         3         3         3         6         1         9         6         6         
Vardas558            Pavarde558         4         8         6         6         5         6         1         1         6         10        6         
Vardas559            Pavarde559         10        2         2         10        8         5         9         8         9         7         2         
Vardas560            Pavarde560         3         3         4         3         4         10        9         1         2         4         5         
Vardas561            Pavarde561         1         6         3         9         4         3         9         10        6         1         6         
Vardas562            Pavarde562         8         5         9         10        6         3         4         2         8         5         6         
Vardas563            Pavarde563         2         10        3         1         1         5         8         5         3         3         6         
Vardas564            Pavarde564         5         9         3         8         6         9         9         1         7         9         3         
Vardas565            Pavarde565         10        8         4         10        8         1         6         10        2         4         2         
Vardas566            Pavarde566         1         8         9         7         6         5         1         10        6         7         2         
Vardas567            Pavarde567         6         2         4         6         10        4         10        1         10        4         7         
Vardas568            Pavarde568         6         4         9         1         10        2         10        10        8         7         6         
Vardas569            Pavarde569         8         9         9         2         5         10        9         2         1         4         10        
Vardas570            Pavarde570         4         9         4         7         3         10        8         1         3         2         1         
Vardas571            Pavarde571         2         2         9         3         3         4         2         8         3         10        10        
Vardas572            Pavarde572         3         6         10        5         8         9         3         1         1         8         7         
Vardas573            Pavarde573         5         9         3         9         4         10        1         4         4         1         5         
Vardas574            Pavarde574         7         7         1         5         7         6         2         5         10        1         4         
Vardas575            Pavarde575         4         10        6         1         9         6         1         6         10        8         6         
Vardas576            Pavarde576         2         1         3         2         3         3         8         3         4         5         7         
Vardas577            Pavarde577         4         6         9         5         7         4         7         2         2         10        10        
Vardas578            Pavarde578         2         1         1         3         7         1         6         3         6         3         5         
Vardas579            Pavarde579         9         3         4         6         4         6         7         9         6         4         2         
Vardas580            Pavarde580         6         6         3         10        10        2         10        5         7         6         3         
Vardas581            Pavarde581         5         8         6         8         10        6         6         9         1         4         9         
Vardas582            Pavarde582         3         5         5         6         1         7         5         3         2         1         1         
Vardas583            Pavarde583         3         6         4         4         5         3         8         4         3         2         9         
Vardas584            Pavarde584         7         7         1         7         2         9         6         8         2         3         6         
Vardas585            Pavarde585         1         7         10        5         10        7         3         10        1         7         4         
Vardas586            Pavarde586         8         4         10        7         8         2         1         10        7         2         6         
Vardas587            Pavarde587         9         5         6         7         9         8         2         10        10        5         6         
Vardas588            Pavarde588         9         3         9         6         4         9         7         2         1         7         10        
Vardas589            Pavarde589         9         6         2         3         6         9         1         2         10        6         9         
Vardas590            Pavarde590         8         10        4         4         7         7         7         1         3         3         7         
Vardas591            Pavarde591         5         4         9         8         2         8         5         3         7         10        3         
Vardas592            Pavarde592         5         7         8         2         1         1         3         7         4         10        1         
Vardas593            Pavarde593         8         7         10        9         9         6         10        4         2         2         7         
Vardas594            Pavarde594         8         2         5         3         1         9         6         3         3         7         6         
Vardas595            Pavarde595         7         7         9         2         9         4         4         5         1         9         8         
Vardas596            Pavarde596         6         3         9         10        4         9         1         1         9         10        6         
Vardas597            Pavarde597         10        5         6         7         6         2         4         5         1         5         6         
Vardas598            Pavarde598         6         7         9         7         10        5         5         6         7         6         5         
Vardas599            Pavarde599         10        8         7         2         3         6         7         9         9         2         2         
Vardas600            Pavarde600         9         6         3         9         3         3         8         6         6         1         1         
Vardas601            Pavarde601         4         10        2         6         9         2         9         3         10        10        8         
Vardas602            Pavarde602         10        1         8         9         9         6         8         8         6         10        4         
Vardas603            Pavarde603         5         8         4         3         5         2         4         2         5         9         9         
Vardas604            Pavarde604         6         7         2         3         1         8         9         2         10        8         9         
Vardas605            Pavarde605         1         10        9         10        10        5         3         5         7         4         9         
Vardas606            Pavarde606         9         8         1         2         9         4         5         1         5         7         6         
Vardas607            Pavarde607         2         8         4         4         5         5         7         10        1         10        8         
Vardas608            Pavarde608         2         8         9         7         9         4         10        10        7         8         9         
Vardas609            Pavarde609         2         4         6         6         3         7         1         10        7         1         3         
Vardas610            Pavarde610         2         5         8         7         3         9         9         7         9         8         6         
Vardas611            Pavarde611         2         7         10        5         3         3         10        9         8         9         5         
Vardas612            Pavarde612         9         8         8         8         3         2         9         8         1         4         9         
Vardas613            Pavarde613         9         3         10        3         4         2         4         1         3         1         8         
Vardas614            Pavarde614         3         4         8         2         8         7         10        9         4         1         8         
Vardas615            Pavarde615         7         9         2         6         8         8         2         10        8         9         5         
Vardas616            Pavarde616         9         6         7         2         4         8         4         9         3         8         2         
Vardas617            Pavarde617         10        1         8         7         2         9         3         3         7         3         2         
Vardas618            Pavarde618         5         9         10        1         2         9         4         3         10        7         9         
Vardas619            Pavarde619         7         4         2         9         9         10        8         5         7         2         3         
Vardas620            Pavarde620         9         3         3         7         8         10        9         8         8         3         4         
Vardas621            Pavarde621         3         9         1         8         1         4         9         4         8         3         6         
Vardas622            Pavarde622         1         2         7         2         10        6         3         7         3         3         9         
Vardas623            Pavarde623         8         5         6         3         7         10        10        3         5         6         8         
Vardas624            Pavarde624         4         4         9         9         6         5         9         8         3         6         2         
Vardas625            Pavarde625         8         2         4         3         6         6         4         7         7         8         7         
Vardas626            Pavarde626         4         4         9         2         3         5         6         8         9         7         1         
Vardas627            Pavarde627         5         2         4         6         9         7         1         6         9         3         9         
Vardas628            Pavarde628         4         2         10        6         10        4         1         4         7         9         7         
Vardas629            Pavarde629         1         6         4         2         10        8         4         2         2         3         8         
Vardas630            Pavarde630         7         2         10        2         1         10        8         7         8         8         4         
Vardas631            Pavarde631         7         8         2         6         9         7         6         3         3         1         10        
Vardas632            Pavarde632         8         7         2         7         3         8         3         3         9         4         6         
Vardas633            Pavarde633         4         5         7         9         3         10        2         7         3         4         8         
Vardas634            Pavarde634         8         7         7         1         7         4         4         2         10        10        5         
Vardas635            Pavarde635         3         4         3         7         2         7         3         2         6         9         7         
Vardas636            Pavarde636         8         4         5         9         8         4         2         7         7         7         1         
Vardas637            Pavarde637         4         2         8         9         10        9         4         9         9         4         8         
Vardas638            Pavarde638         3         1         4         4         10        5         5         7         7         7         10        
Vardas639            Pavarde639         6         6         5         9         6         1         9         8         10        8         4         
Vardas640            Pavarde640         7         3         3         10        5         8         2         2         9         4         3         
Vardas641            Pavarde641         7         5         8         7         1         1         7         1         1         9         9         
Vardas642            Pavarde642         10        2         1         9         10        10        9         3         9         9         5         
Vardas643            Pavarde643         8         3         2         2         3         4         5         1         6         9         8         
Vardas644            Pavarde644         9         3         5         1         5         7         4         7         2         9         9         
Vardas645            Pavarde645         8         4         5         3         5         5         7         9         10        7         8         
Vardas646            Pavarde646         1         2         4         2         9         7         4         8         4         5         8         
Vardas647            Pavarde647         2         10        6         6         1         10        10        6         1         4         1         
Vardas648            Pavarde648         9         8         6         2         8         3         10        1         6         8         6         
Vardas649            Pavarde649         5         7         5         3         9         8         4         3         8         8         5         
Vardas650            Pavarde650         5         3         10        7         6         5         2         9         8         6         4         
Vardas651            Pavarde651         8         8         8         4         4         7         5         2         1         6         2         
Vardas652            Pavarde652         8         4         6         6         10        6         5         5         6         3         10        
Vardas653            Pavarde653         9         1         6         4         1         2         9         9         4         1         9         
Vardas654            Pavarde654         8         6         2         5         10        6         2         1         8         10        2         
Vardas655            Pavarde655         5         1         2         5         5         4         4         5         7         1         3         
Vardas656            Pavarde656         1         1         3         9         6         2         6         8         9         3         5         
Vardas657            Pavarde657         7         5         10        3         5         5         8         9         1         10        10        
Vardas658            Pavarde658         4         5         8         1         5         3         7         1         2         6         9         
Vardas659            Pavarde659         7         3         4         9         5         10        8         2         6         3         10        
Vardas660            Pavarde660         1         2         10        10        6         9         9         1         6         8         1         
Vardas661            Pavarde661         5         1         6         1         2         2         9         2         10        4         2         
Vardas662            Pavarde662         9         8         3         3         10        4         1         3         3         5         2         
Vardas663            Pavarde663         6         4         1         7         6         2         5         6         9         9         3         
Vardas664            Pavarde664         7         7         4         1         6         9         9         8         5         10        7         
Vardas665            Pavarde665         10        9         6         9         3         10        7         3         7         1         10        
Vardas666            Pavarde666         9         9         3         9         10        5         7         4         3         10        5         
Vardas667            Pavarde667         5         1         4         10        8         7         10        9         4         1         2         
Vardas668            Pavarde668         10        3         1         3         2         6         4         1         10        7         10        
Vardas669            Pavarde669         6         10        10        5         10        4         3         8         8         1         3         
Vardas670            Pavarde670         10        5         1         4         8         4         6         2         10        5         4         
Vardas671            Pavarde671         4         5         2         8         9         1         6         4         2         5         7         
Vardas672            Pavarde672         8         9         5         10        7         7         4         1         8         7         1         
Vardas673            Pavarde673         3         2         4         8         9         7         10        10        8         10        7         
Vardas674            Pavarde674         2         1         9         10        2         7         7         1         7         7         2         
Vardas675            Pavarde675         5         8         7         7         7         1         1         8         10        7         6         
Vardas676            Pavarde676         5         7         6         4         10        9         2         3         7         4         3         
Vardas677            Pavarde677         1         7         9         7         1         9         1         3         8         1         6         
Vardas678            Pavarde678         9         10        3         5         7         5         7         8         8         3         4         
Vardas679            Pavarde679         4         1         1         8         9         9         10        6         4         7         3         
Vardas680            Pavarde680         6         1         2         10        10        8         1         5         7         5         6         
Vardas681            Pavarde681         5         5         3         5         7         1         8         4         5         8         3         
Vardas682            Pavarde682         3         2         8         9         2         8         7         8         5         5         3         
Vardas683            Pavarde683         10        1         3         3         6         8         2         7         8         8         5         
Vardas684            Pavarde684         1         8         2         8         10        4         7         1         5         8         6         
Vardas685            Pavarde685         5         1         3         2         6         2         10        2         9         4         9         
Vardas686            Pavarde686         9         4         4         6         10        8         2         6         8         6         10        
Vardas687            Pavarde687         10        3         7         9         5         9         4         1         3         9         3         
Vardas688            Pavarde688         9         6         3         4         10        7         2         1         3         10        7         
Vardas689            Pavarde689         3         3         3         2         5         5         4         8         7         3         8         
Vardas690            Pavarde690         8         8         6         8         3         3         6         8         6         8         8         
Vardas691            Pavarde691         6         9         9         1         6         3         6         6         7         5         4         
Vardas692            Pavarde692         7         2         2         8         5         4         7         1         6         8         3         
Vardas693            Pavarde693         8         7         5         2         5         1         5         2         8         10        8         
Vardas694            Pavarde694         3         1         4         4         1         7         4         10        7         5         2         
Vardas695            Pavarde695         3         4         5         6         4         7         6         7         10        7         4         
Vardas696            Pavarde696         6         8         9         10        2         8         2         1         1         2         4         
Vardas697            Pavarde697         9         10        5         4         8         5         6         10        4         7         6         
Vardas698            Pavarde698         4         5         4         5         5         10        4         7         8         3         2         
Vardas699            Pavarde699         10        7         8         4         2         6         1         1         4         3         4         
Vardas700            Pavarde700         7         8         8         2         3         9         8         2         8         10        3         
Vardas701            Pavarde701         6         1         4         4         8         4         8         10        10        10        1         
Vardas702            Pavarde702         4         6         5         9         2         6         8         9         1         10        4         
Vardas703            Pavarde703         1         9         6         2         1         9         9         6         5         9         3         
Vardas704            Pavarde704         9         9         4         5         8         10        4         1         7         9         10        
Vardas705            Pavarde705         4         3         1         7         3         8         9         4         6         5         1         
Vardas706            Pavarde706         6         5         5         6         2         1         10        2         6         1         10        
Vardas707            Pavarde707         2         7         6         6         8         8         9         4         6         4         7         
Vardas708            Pavarde708         7         9         9         5         4         3         2         2         10        10        7         
Vardas709            Pavarde709         3         10        7         6         4         7         1         9         1         8         8         
Vardas710            Pavarde710         6         1         2         4         1         5         7         6         7         4         6         
Vardas711            Pavarde711         9         3         8         6         2         3         1         4         7         3         5         
Vardas712            Pavarde712         1         6         6         1         8         3         1         2         4         4         1         
Vardas713            Pavarde713         2         10        4         5         4         1         4         5         1         3         4         
Vardas714            Pavarde714         8         10        5         6         3         2         3         4         5         2         10        
Vardas715            Pavarde715         1         5         10        5         6         4         4         8         5         5         3         
Vardas716            Pavarde716         5         7         4         1         6         9         5         10        10        6         5         
Vardas717            Pavarde717         1         5         6         5         8         6         5         5         4         2         1         
Vardas718            Pavarde718         9         9         6         8         2         9         6         1         8         3         6         
Vardas719            Pavarde719         5         3         9         5         10        8         10        1         1         8         3         
Vardas720            Pavarde720         5         4         6         9         6         3         10        3         3         4         7         
Vardas721            Pavarde721         4         4         5         7         2         1         9         5         1         6         1         
Vardas722            Pavarde722         6         6         9         2         3         4         6         5         4         4         7         
Vardas723            Pavarde723         7         1         9         10        4         8         10        4         6         7         10        
Vardas724            Pavarde724         6         2         1         4         4         7         10        5         9         8         2         
Vardas725            Pavarde725         4         3         2         5         7         1         6         2         8         9         10        
Vardas726            Pavarde726         9         10        3         4         6         3         4         9         1         1         1         
Vardas727            Pavarde727         10        3         10        4         5         6         1         7         3         3         7         
Vardas728            Pavarde728         6         10        3         5         9         2         10        10        3         9         4         
Vardas729            Pavarde729         4         9         6         6         3         9         10        1         3         9         8         
Vardas730            Pavarde730         5         1         8         8         8         4         8         5         8         1         10        
Vardas731            Pavarde731         3         2         7         5         5         10        3         7         10        10        9         
Vardas732            Pavarde732         1         5         3         5         9         9         8         9         10        4         2         
Vardas733            Pavarde733         4         10        2         4         6         9         9         4         9         1         1         
Vardas734            Pavarde734         5         6         8         6         2         3         1         1         4         6         8         
Vardas735            Pavarde735         5         2         6         3         6         3         9         5         5         8         8         
Vardas736            Pavarde736         6         1         1         10        1         6         5         8         7         8         2         
Vardas737            Pavarde737         7         4         8         3         8         1         1         1         3         9         1         
Vardas738            Pavarde738         2         2         9         7         2         3         1         3         10        4         7         
Vardas739            Pavarde739         7         1         4         3         6         6         10        9         4         6         8         
Vardas740            Pavarde740         9         8         3         1         10        1         7         9         8         4         5         
Vardas741            Pavarde741         5         8         3         7         6         7         2         7         8         10        4         
Vardas742            Pavarde742         9         6         2         9         1         10        1         10        5         8         10        
Vardas743            Pavarde743         8         4         9         1         3         7         5         8         9         9         6         
Vardas744            Pavarde744         3         3         10        9         4         1         10        2         4         4         1         
Vardas745            Pavarde745         1         2         3         2         5         10        6         8         5         8         8         
Vardas746            Pavarde746         2         2         1         3         8         9         3         1         7         7         1         
Vardas747            Pavarde747         5         9         1         4         10        1         3         10        3         10        6         
Vardas748            Pavarde748         4         4         10        10        8         2         10        4         5         4         10        
Vardas749            Pavarde749         6         6         6         1         3         2         10        3         10        4         9         
Vardas750            Pavarde750         1         5         7         5         1         2         9         9         3         6         8         
Vardas751            Pavarde751         8         2         9         6         1         2         2         6         9         7         6         
Vardas752            Pavarde752         5         8         7         1         7         7         4         7         1         1         3         
Vardas753            Pavarde753         4         1         1         3         6         6         3         8         4         2         10        
Vardas754            Pavarde754         10        9         9         2         2         3         3         4         3         10        10        
Vardas755            Pavarde755         1         5         4         8         3         10        3         4         9         1         2         
Vardas756            Pavarde756         5         3         5         3         6         1         2         2         1         9         3         
Vardas757            Pavarde757         1         1         6         8         4         5         8         9         1         10        5         
Vardas758            Pavarde758         2         5         10        3         10        4         8         6         4         7         5         
Vardas759            Pavarde759         1         4         5         6         10        9         6         6         3         10        7         
Vardas760            Pavarde760         9         7         9         7         1         3         3         4         4         4         7         
Vardas761            Pavarde761         2         9         5         10        8         2         4         3         10        1         10        
Vardas762            Pavarde762         2         4         6         9         7         2         6         10        6         2         6         
Vardas763            Pavarde763         8         3         6         3         6         1         6         4         1         5         2         
Vardas764            Pavarde764         5         1         2         4         1         7         5         1         4         5         10        
Vardas765            Pavarde765         2         6         4         6         2         10        10        9         3         6         10        
Vardas766            Pavarde766         6         2         9         3         6         5         10        4         6         7         2         
Vardas767            Pavarde767         6         4         1         3         1         7         3         2         5         3         7         
Vardas768            Pavarde768         6         5         1         7         7         2         6         3         2         10        8         
Vardas769            Pavarde769         8         2         2         4         8         7         7         1         10        10        10        
Vardas770            Pavarde770         1         1         7         9         10        3         5         3         7         5         1         
Vardas771            Pavarde771         6         6         2         7         5         7         1         7         7         8         3         
Vardas772            Pavarde772         9         9         8         10        8         5         8         6         3         5         8         
